업체명,업종,주소,전화번호,평점,리뷰수,연락상태,나우링크URL,네이버플레이스URL,수집일시
"큐바이쿼트",카페,"대구광역시 남구 명덕로 256",,,,pending,https://www.nowlink.kr/store/cafe-대구-6,https://map.naver.com/v5/search/%ED%81%90%EB%B0%94%EC%9D%B4%EC%BF%BC%ED%8A%B8,2026-04-27T01:58:29.177Z
"인더매스 삼덕",카페,"대구광역시 중구 공평로8길 29 1층",,,,pending,https://www.nowlink.kr/store/cafe-대구-7,https://blog.naver.com/masscoffee_,2026-04-27T01:58:29.177Z
"피와이지",카페,"대구광역시 중구 달구벌대로443길 40 1,2층",,,,pending,https://www.nowlink.kr/store/cafe-대구-8,https://www.instagram.com/pinkyellowgreen.market?igsh=d2hyYmp5bXowZ216,2026-04-27T01:58:29.177Z
"목영커피바",카페,"대구광역시 중구 공평로 53 2층 목영커피바",,,,pending,https://www.nowlink.kr/store/cafe-대구-9,https://map.naver.com/v5/search/%EB%AA%A9%EC%98%81%EC%BB%A4%ED%94%BC%EB%B0%94,2026-04-27T01:58:29.177Z
"펜슬앤페이퍼",카페,"대구광역시 중구 경상감영길 27-6 1층",,,,pending,https://www.nowlink.kr/store/cafe-대구-10,https://www.instagram.com/pencilandpaper_coffee?igsh=NGRmeDBtbDc1dGR0&utm_source=qr,2026-04-27T01:58:29.177Z
"큐바이쿼트",카페,"대구광역시 남구 명덕로 256",,,,pending,https://www.nowlink.kr/store/cafe-대구-11,https://map.naver.com/v5/search/%ED%81%90%EB%B0%94%EC%9D%B4%EC%BF%BC%ED%8A%B8,2026-04-27T01:58:29.177Z
"인더매스 삼덕",카페,"대구광역시 중구 공평로8길 29 1층",,,,pending,https://www.nowlink.kr/store/cafe-대구-12,https://blog.naver.com/masscoffee_,2026-04-27T01:58:29.177Z
"피와이지",카페,"대구광역시 중구 달구벌대로443길 40 1,2층",,,,pending,https://www.nowlink.kr/store/cafe-대구-13,https://www.instagram.com/pinkyellowgreen.market?igsh=d2hyYmp5bXowZ216,2026-04-27T01:58:29.177Z
"목영커피바",카페,"대구광역시 중구 공평로 53 2층 목영커피바",,,,pending,https://www.nowlink.kr/store/cafe-대구-14,https://map.naver.com/v5/search/%EB%AA%A9%EC%98%81%EC%BB%A4%ED%94%BC%EB%B0%94,2026-04-27T01:58:29.177Z
"펜슬앤페이퍼",카페,"대구광역시 중구 경상감영길 27-6 1층",,,,pending,https://www.nowlink.kr/store/cafe-대구-15,https://www.instagram.com/pencilandpaper_coffee?igsh=NGRmeDBtbDc1dGR0&utm_source=qr,2026-04-27T01:58:29.177Z
"큐바이쿼트",카페,"대구광역시 남구 명덕로 256",,,,pending,https://www.nowlink.kr/store/cafe-대구-16,https://map.naver.com/v5/search/%ED%81%90%EB%B0%94%EC%9D%B4%EC%BF%BC%ED%8A%B8,2026-04-27T01:58:29.177Z
"인더매스 삼덕",카페,"대구광역시 중구 공평로8길 29 1층",,,,pending,https://www.nowlink.kr/store/cafe-대구-17,https://blog.naver.com/masscoffee_,2026-04-27T01:58:29.177Z
"피와이지",카페,"대구광역시 중구 달구벌대로443길 40 1,2층",,,,pending,https://www.nowlink.kr/store/cafe-대구-18,https://www.instagram.com/pinkyellowgreen.market?igsh=d2hyYmp5bXowZ216,2026-04-27T01:58:29.177Z
"목영커피바",카페,"대구광역시 중구 공평로 53 2층 목영커피바",,,,pending,https://www.nowlink.kr/store/cafe-대구-19,https://map.naver.com/v5/search/%EB%AA%A9%EC%98%81%EC%BB%A4%ED%94%BC%EB%B0%94,2026-04-27T01:58:29.177Z
"펜슬앤페이퍼",카페,"대구광역시 중구 경상감영길 27-6 1층",,,,pending,https://www.nowlink.kr/store/cafe-대구-20,https://www.instagram.com/pencilandpaper_coffee?igsh=NGRmeDBtbDc1dGR0&utm_source=qr,2026-04-27T01:58:29.177Z
"큐바이쿼트",카페,"대구광역시 남구 명덕로 256",,,,pending,https://www.nowlink.kr/store/cafe-대구-21,https://map.naver.com/v5/search/%ED%81%90%EB%B0%94%EC%9D%B4%EC%BF%BC%ED%8A%B8,2026-04-27T01:58:29.177Z
"인더매스 삼덕",카페,"대구광역시 중구 공평로8길 29 1층",,,,pending,https://www.nowlink.kr/store/cafe-대구-22,https://blog.naver.com/masscoffee_,2026-04-27T01:58:29.177Z
"피와이지",카페,"대구광역시 중구 달구벌대로443길 40 1,2층",,,,pending,https://www.nowlink.kr/store/cafe-대구-23,https://www.instagram.com/pinkyellowgreen.market?igsh=d2hyYmp5bXowZ216,2026-04-27T01:58:29.177Z
"목영커피바",카페,"대구광역시 중구 공평로 53 2층 목영커피바",,,,pending,https://www.nowlink.kr/store/cafe-대구-24,https://map.naver.com/v5/search/%EB%AA%A9%EC%98%81%EC%BB%A4%ED%94%BC%EB%B0%94,2026-04-27T01:58:29.177Z
"펜슬앤페이퍼",카페,"대구광역시 중구 경상감영길 27-6 1층",,,,pending,https://www.nowlink.kr/store/cafe-대구-25,https://www.instagram.com/pencilandpaper_coffee?igsh=NGRmeDBtbDc1dGR0&utm_source=qr,2026-04-27T01:58:29.177Z
"올리빈.ll",카페,"대전광역시 서구 대덕대로168번길 18 1층 101호 올리빈 OLIBEAN",,,,pending,https://www.nowlink.kr/store/cafe-대전-1,https://www.instagram.com/olibean_daejeon?igsh=MTlldW9oc2tkeGMxeA%3D%3D&utm_source=qr,2026-04-27T01:58:30.197Z
"파티세리러츠",카페,"대전광역시 서구 둔산로74번길 12 1층 파티세리러츠",,,,pending,https://www.nowlink.kr/store/cafe-대전-2,https://www.instagram.com/patisserie.lutz,2026-04-27T01:58:30.197Z
"픽베이크 둔산점",카페,"대전광역시 서구 둔산로31번길 72 1층 103호",,,,pending,https://www.nowlink.kr/store/cafe-대전-3,https://map.naver.com/v5/search/%ED%94%BD%EB%B2%A0%EC%9D%B4%ED%81%AC%20%EB%91%94%EC%82%B0%EC%A0%90,2026-04-27T01:58:30.197Z
"올리브팜 베이커리",카페,"대전광역시 서구 둔산로206번길 15 1층",,,,pending,https://www.nowlink.kr/store/cafe-대전-4,https://www.instagram.com/olivefarm_bakery,2026-04-27T01:58:30.197Z
"베이커리킥",카페,"대전광역시 동구 백룡로 32-1 2층 201호",,,,pending,https://www.nowlink.kr/store/cafe-대전-5,https://www.instagram.com/bakery_kick,2026-04-27T01:58:30.197Z
"올리빈.ll",카페,"대전광역시 서구 대덕대로168번길 18 1층 101호 올리빈 OLIBEAN",,,,pending,https://www.nowlink.kr/store/cafe-대전-6,https://www.instagram.com/olibean_daejeon?igsh=MTlldW9oc2tkeGMxeA%3D%3D&utm_source=qr,2026-04-27T01:58:30.197Z
"파티세리러츠",카페,"대전광역시 서구 둔산로74번길 12 1층 파티세리러츠",,,,pending,https://www.nowlink.kr/store/cafe-대전-7,https://www.instagram.com/patisserie.lutz,2026-04-27T01:58:30.197Z
"픽베이크 둔산점",카페,"대전광역시 서구 둔산로31번길 72 1층 103호",,,,pending,https://www.nowlink.kr/store/cafe-대전-8,https://map.naver.com/v5/search/%ED%94%BD%EB%B2%A0%EC%9D%B4%ED%81%AC%20%EB%91%94%EC%82%B0%EC%A0%90,2026-04-27T01:58:30.197Z
"올리브팜 베이커리",카페,"대전광역시 서구 둔산로206번길 15 1층",,,,pending,https://www.nowlink.kr/store/cafe-대전-9,https://www.instagram.com/olivefarm_bakery,2026-04-27T01:58:30.197Z
"베이커리킥",카페,"대전광역시 동구 백룡로 32-1 2층 201호",,,,pending,https://www.nowlink.kr/store/cafe-대전-10,https://www.instagram.com/bakery_kick,2026-04-27T01:58:30.197Z
"올리빈.ll",카페,"대전광역시 서구 대덕대로168번길 18 1층 101호 올리빈 OLIBEAN",,,,pending,https://www.nowlink.kr/store/cafe-대전-11,https://www.instagram.com/olibean_daejeon?igsh=MTlldW9oc2tkeGMxeA%3D%3D&utm_source=qr,2026-04-27T01:58:30.197Z
"파티세리러츠",카페,"대전광역시 서구 둔산로74번길 12 1층 파티세리러츠",,,,pending,https://www.nowlink.kr/store/cafe-대전-12,https://www.instagram.com/patisserie.lutz,2026-04-27T01:58:30.197Z
"픽베이크 둔산점",카페,"대전광역시 서구 둔산로31번길 72 1층 103호",,,,pending,https://www.nowlink.kr/store/cafe-대전-13,https://map.naver.com/v5/search/%ED%94%BD%EB%B2%A0%EC%9D%B4%ED%81%AC%20%EB%91%94%EC%82%B0%EC%A0%90,2026-04-27T01:58:30.197Z
"올리브팜 베이커리",카페,"대전광역시 서구 둔산로206번길 15 1층",,,,pending,https://www.nowlink.kr/store/cafe-대전-14,https://www.instagram.com/olivefarm_bakery,2026-04-27T01:58:30.197Z
"베이커리킥",카페,"대전광역시 동구 백룡로 32-1 2층 201호",,,,pending,https://www.nowlink.kr/store/cafe-대전-15,https://www.instagram.com/bakery_kick,2026-04-27T01:58:30.197Z
